Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400034888;7;11;2024;07:30;2;92;92040;2;1;1;2;BOURGAIN (AVENE);48,82132000;2,26462000
202400017325;20;11;2024;10:10;1;64;64445;2;1;3;2;ALFRED NOBEL;43,31702880; -0,31160831
202400017379;13;3;2024;13:30;1;25;25318;1;1;2;2;N57;46,75396000;6,38055500
202400002852;26;4;2024;17:43;1;49;49248;1;2;1;3;Le Tremblay;47,66061800; -1,09150900
202400018087;17;4;2024;10:30;1;68;68063;2;1;1;7;8 Rue de la 4e Dmm;47,80027800;7,17347700
202400044310;7;12;2024;11:41;1;92;92063;2;1;8;2;JONCHERE (CHEMIN DE LA);48,86800346;2,15627231
202400033677;24;7;2024;15:50;1;36;36037;1;1;1;6;;46,93334100;1,79077100
202400036690;12;12;2024;09:45;1;54;54357;2;3;1;6;Rue Lafayette;48,71234210;6,16867840
202400005206;21;10;2024;07:45;2;35;35189;1;1;3;4;RD 137;48,15099000; -1,70004000
202400026034;3;9;2024;16:15;1;75;75110;2;1;1;7;AVENUE PARMENTIER;48,87048100;2,37069200
202400007210;15;10;2024;11:00;1;988;98814;1;1;1;6;Tribu de Hmelek; -21,07626000;167,31162000
202400026245;27;7;2024;09:35;1;83;83086;1;1;1;3;D125;43,45826200;6,55763900
202400010605;5;8;2024;16:50;1;35;35272;1;3;1;3;D178;48,00573000; -1,20117900
202400040099;16;6;2024;19:00;1;66;66037;2;3;1;3;Rue des Palmiers;42,69764800;3,03347100
202400015068;14;10;2024;09:50;1;75;75104;2;3;1;7;RUE DE RIVOLI;48,85591100;2,35796200
202400049453;12;6;2024;17:09;1;76;76476;1;1;1;6;Rue du Marais;49,48769200;0,56594100
202400021021;18;11;2024;02:00;3;971;97109;1;6;2;6;RN1;15,99038500; -61,71621300
202400003336;5;6;2024;18:03;1;40;40065;2;3;1;6;12 Av Mal de Lattre de Tassigny;43,64457700; -1,43491700
202400051169;26;10;2024;21:45;5;92;92036;1;1;1;7;SEINE (ROUTE DE LA) (1);48,94611545;2,28090763
202400043667;16;7;2024;16:20;1;45;45302;2;1;1;4;D557 PR 0 + 960;47,95261000;1,85659000
202400031383;17;5;2024;22:45;3;11;11069;2;1;3;3;ROCADE OUEST RD 6161;43,22134610;2,32429504
202400053224;28;11;2024;08:25;1;60;60471;2;3;1;6;Avenue Jean Jaurès;49,57600300;2,99156200
202400007882;26;11;2024;11:45;1;76;76319;1;1;1;3;Boulevard Maritime;49,35979000;0,99320000
202400038985;13;1;2024;15:35;1;48;48095;2;1;7;6;CAPUCINS (BOULEVARD DES);44,52031000;3,49799000
202400017713;23;12;2024;20:00;5;72;72181;2;2;1;3;DURAND GEORGES (AV) N° IMP 199 AU N° 311;47,97133000;0,21709000
202400003419;23;10;2024;11:40;1;21;21529;1;1;1;2;A6;47,40946600;4,34207800
202400024800;26;6;2024;02:25;5;31;31555;2;1;1;6;RUE MARIE LOUISE DISSART;43,60280000;1,36714000
202400036055;20;7;2024;16:15;1;64;64102;2;1;1;7;JEAN DARRIGRAND (AVENUE);43,48191000; -1,48626000
202400012396;30;12;2024;07:24;3;24;24197;1;1;5;1;Route départementale 709;44,90722100;0,44891600
202400051199;21;9;2024;00:20;3;972;97209;1;1;1;6;REDOUTE (ROUTE DE LA°;14,62352300; -61,06097300
202400025666;12;4;2024;16:30;1;94;94028;2;3;1;3;Rue Juliette Savar / Rue Henri Matisse;48,78300000;2,46406000
202400051558;10;6;2024;08:13;2;77;77183;2;1;1;6;D603;48,95076900;3,12645300
202400031587;19;1;2024;08:00;2;91;91097;2;1;1;3;CHARLES DE GAULLE (AVENUE);48,68947000;2,52549000
202400048521;2;12;2024;23:45;5;75;75101;2;1;2;7;QUAI DES TUILERIES;48,86285400;2,32428900
202400045792;14;7;2024;01:00;5;75;75118;2;3;1;1;RUE GANNERON;48,88881600;2,32785800
202400035699;21;7;2024;22:00;5;75;75114;2;1;1;3;BOULEVARD JOURDAN;48,82053200;2,33739600
202400021411;16;11;2024;18:50;5;63;63113;2;3;1;3;Av République (rue d'Effiat;45,78620000;3,10340000
202400023444;20;12;2024;22:30;3;972;97221;1;1;2;6;route nationale 5;14,52151500; -60,98336900
202400001633;23;3;2024;18:24;2;43;43018;1;2;7;3;D589;44,98785279;3,73873712
202400048916;11;6;2024;11:20;1;54;54329;2;1;1;3;Avenue de la Libération;48,58677000;6,50990000
202400008544;9;8;2024;07:45;1;2B;2B309;2;3;1;3;Route de Figarella;42,74330100;9,45788200
202400053711;7;6;2024;18:30;1;75;75115;2;1;1;6;AVENUE ALBERT BARTHOLOME;48,82786000;2,29888200
202400054307;30;11;2024;07:30;5;75;75120;2;4;1;3;AVENUE DU DOCTEUR GLEY;48,87718100;2,41018400
202400030154;31;8;2024;17:00;1;93;93078;1;1;1;4;AUTOROUTE A104;48,97113985;2,49844915
202400040906;4;4;2024;17:02;1;65;65440;2;1;1;6;Avenue de la Marne;43,23214401;0,08704719
202400031432;21;1;2024;15:40;1;30;30286;1;9;1;3;D981;43,98603300;4,45543300
202400050887;4;5;2024;13:54;1;01;01033;1;1;1;6;D1084;46,15991800;5,78120100
202400043094;10;1;2024;19:20;3;16;16330;1;1;2;5;RN 141;45,68833000; -0,39451000
202400026113;3;9;2024;17:20;1;12;12300;2;6;1;3;Avenue du Quercy;44,35892006;2,02120095
202400052814;2;1;2024;09:55;1;75;75108;2;4;2;6;AVENUE DE FRIEDLAND;48,87439300;2,30106400
202400036630;19;6;2024;00:45;3;57;57582;1;9;8;7;Autoroute A31;49,28379000;6,17279000
202400005719;6;7;2024;17:15;1;58;58039;2;1;1;3;Route Buissonniére;47,42073400;3,60570400
202400010677;4;8;2024;15:15;1;64;64488;1;1;1;1;d943;43,38228300; -0,21972700
202400023035;15;11;2024;20:00;3;77;77350;1;1;1;6;D471;48,77166000;2,70797000
202400022731;1;10;2024;04:30;3;73;73006;1;1;2;7;Route de montagne;45,55130800;6,57847200
202400029972;19;5;2024;18:40;1;18;18221;1;1;1;7;Route de Rousson;46,82197800;2,37691500
202400014618;1;2;2024;18:30;5;92;92026;2;2;1;6;REFLETS (PLACE);48,89055793;2,24838978
202400011025;1;6;2024;15:00;1;75;75112;2;2;2;6;AVENUE DU DOCTEUR ARNOLD NETTER;48,84715100;2,40626300
202400047723;20;8;2024;17:00;1;94;94033;1;1;2;2;A86;48,85106447;2,49004498
