Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202400000005;203 988 569;155 781 750;A01;1;1;4;1;1981.0;0;8;0;-1;-1; -1;-1
202400000005;203 988 570;155 781 751;B01;1;1;4;2;2005.0;0;8;0;-1;-1; -1;-1
202400000005;203 988 571;155 781 752;C01;1;1;1;1;2000.0;0;8;0;-1;-1; -1;-1
202400000005;203 988 572;155 781 753;D01;1;1;4;2;1963.0;0;8;0;-1;-1; -1;-1
202400000007;203 988 558;155 781 746;A01;4;2;3;1;2001.0;5;1;0;-1;-1; -1;-1
202400000007;203 988 559;155 781 746;A01;2;2;3;1;2001.0;5;1;0;-1;-1; -1;-1
202400000007;203 988 560;155 781 746;A01;3;2;1;1;2003.0;5;1;0;-1;-1; -1;-1
202400000007;203 988 561;155 781 746;A01;1;1;1;1;1997.0;5;1;0;-1;-1; -1;-1
202400000007;203 988 562;155 781 747;B01;1;1;1;1;1996.0;5;1;0;-1;-1; -1;-1
202400000041;203 988 466;155 781 684;A01;2;2;3;1;2007.0;5;1;9;-1;0;0;-1
202400000041;203 988 467;155 781 684;A01;7;2;3;2;2006.0;5;1;9;-1;0;0;-1
202400000041;203 988 468;155 781 684;A01;1;1;4;2;2006.0;5;1;9;-1;0;0;-1
202400000081;203 988 373;155 781 609;B01;1;1;4;1;1937.0;0;0;-1;-1;-1; -1;-1
202400000081;203 988 376;155 781 611;A01;1;1;1;2;1985.0;0;8;-1;-1;-1; -1;-1
202400000104;203 988 315;155 781 569;A01;1;1;4;1;1992.0;1;8;0;0;-1; -1;-1
202400000104;203 988 316;155 781 570;B01;1;1;1;1;1988.0;1;1;0;0;-1; -1;-1
202400000111;203 988 292;155 781 553;B01;1;1;4;1;1996.0;0;1;-1;-1;-1; -1;-1
202400000111;203 988 293;155 781 554;A01;2;2;4;2;1965.0;0;1;-1;-1;-1; -1;-1
202400000111;203 988 294;155 781 554;A01;3;2;4;2;1999.0;0;1;-1;-1;-1; -1;-1
202400000111;203 988 295;155 781 554;A01;4;2;1;1;1995.0;0;1;-1;-1;-1; -1;-1
202400000111;203 988 296;155 781 554;A01;1;1;1;1;1965.0;0;1;-1;-1;-1; -1;-1
202400000115;203 988 278;155 781 546;A01;1;1;2;1;1997.0;5;2;0;-1;0;0;-1
202400000148;203 988 203;155 781 488;A01;10;3;4;2;1999.0;1;0;-1;-1;9;3;1
202400000148;203 988 204;155 781 488;A01;1;1;1;1;1998.0;1;8;0;-1;-1; -1;-1
202400000168;203 988 162;155 781 456;A01;1;1;1;1;1983.0;5;1;-1;-1;0;0;-1
202400000168;203 988 164;155 781 457;B01;1;1;4;1;1943.0;5;2;-1;-1;0;0;-1
202400000174;203 988 144;155 781 445;A01;1;1;1;1;1971.0;9;8;-1;-1;0;0;-1
202400000174;203 988 146;155 781 447;B01;2;2;3;2;1956.0;9;8;-1;-1;0;0;-1
202400000174;203 988 147;155 781 447;B01;9;2;4;2;2014.0;9;8;-1;-1;0;0;-1
202400000174;203 988 148;155 781 447;B01;1;1;4;1;1954.0;5;8;-1;-1;0;0;-1
202400000177;203 988 137;155 781 439;A01;1;1;4;1;1982.0;4;1;0;0;-1; -1;-1
202400000177;203 988 139;155 781 440;B01;1;1;1;2;1998.0;1;1;0;0;-1; -1;-1
202400000183;203 988 117;155 781 428;B01;1;1;1;1;1939.0;5;1;-1;-1;0;0;-1
202400000183;203 988 119;155 781 430;A01;2;2;3;2;1956.0;5;1;-1;-1;0;0;-1
202400000183;203 988 121;155 781 430;A01;7;2;1;2;1992.0;5;1;-1;-1;0;0;-1
202400000183;203 988 122;155 781 430;A01;9;2;1;1;1953.0;5;1;-1;-1;0;0;-1
202400000183;203 988 123;155 781 430;A01;1;1;1;2;1996.0;5;1;-1;-1;0;0;-1
202400000195;203 988 088;155 781 408;A01;1;1;3;1;1994.0;0;8;0;-1;0;0;-1
202400000200;203 988 077;155 781 400;A01;1;1;3;2;1964.0;5;2;-1;-1;0;0;-1
202400000213;203 988 053;155 781 382;A01;1;1;1;1;1981.0;5;1;-1;-1;0;0;-1
202400000213;203 988 054;155 781 383;B01;1;1;4;1;1972.0;5;1;-1;-1;0;0;-1
202400000226;203 988 022;155 781 359;A01;1;1;1;1;1979.0;0;1;0;-1;-1; -1;-1
202400000226;203 988 023;155 781 360;B01;1;1;4;1;1979.0;0;1;0;-1;-1; -1;-1
202400000263;203 987 933;155 781 296;A01;1;1;4;2;1970.0;5;1;-1;-1;-1; -1;-1
202400000263;203 987 934;155 781 297;B01;2;2;4;1;1964.0;5;1;-1;-1;-1; -1;-1
202400000263;203 987 935;155 781 297;B01;1;1;1;2;1980.0;5;1;-1;-1;-1; -1;-1
202400000269;203 987 919;155 781 288;A01;1;1;1;2;1997.0;9;1;0;-1;-1; -1;-1
202400000269;203 987 920;155 781 289;B01;1;1;4;2;1965.0;0;1;0;-1;-1; -1;-1
202400000275;203 987 907;155 781 278;A01;10;3;4;1;1974.0;0;0;-1;-1;2;3;1
202400000275;203 987 908;155 781 278;A01;1;1;1;1;1950.0;0;1;0;-1;-1; -1;-1
202400000278;203 987 899;155 781 271;A01;1;1;1;1;2001.0;0;1;8;-1;-1; -1;-1
202400000278;203 987 900;155 781 272;B01;1;1;1;2;1995.0;0;1;8;-1;-1; -1;-1
202400000278;203 987 901;155 781 273;C01;1;1;4;2;1989.0;0;1;8;-1;-1; -1;-1
202400000284;203 987 884;155 781 263;A01;1;1;1;1;2004.0;-1;1;-1;-1;-1; -1;-1
202400000284;203 987 885;155 781 264;B01;1;1;4;2;1990.0;1;1;0;-1;-1; -1;-1
202400000293;203 987 863;155 781 247;A01;1;1;4;1;1998.0;5;2;6;-1;0;0;-1
202400000293;203 987 864;155 781 248;B01;1;1;1;1;1999.0;1;1;0;-1;0;0;-1
202400000315;203 987 816;155 781 202;A01;1;1;1;1;1968.0;4;8;0;-1;-1; -1;-1
202400000315;203 987 817;155 781 203;B01;1;1;2;1;1977.0;0;2;6;-1;-1; -1;-1
202400000333;203 987 777;155 781 172;B01;2;2;4;2;1976.0;4;1;0;-1;0;0;-1
202400000333;203 987 778;155 781 172;B01;4;2;4;1;1992.0;4;1;0;-1;0;0;-1
202400000333;203 987 779;155 781 172;B01;1;1;1;1;1988.0;4;1;0;-1;0;0;-1
202400000333;203 987 781;155 781 174;A01;1;1;3;2;2003.0;5;1;0;-1;0;0;-1
202400000336;203 987 770;155 781 165;A01;1;1;4;1;1966.0;0;1;0;-1;-1; -1;-1
202400000336;203 987 771;155 781 166;B01;1;1;1;1;1993.0;0;2;6;-1;-1; -1;-1
202400000336;203 987 772;155 781 167;C01;1;1;1;1;1961.0;1;1;0;-1;-1; -1;-1
202400000374;203 987 680;155 781 093;B01;1;1;3;1;2001.0;5;0;-1;-1;0;0;-1
202400000374;203 987 681;155 781 094;A01;1;1;1;1;1977.0;5;1;-1;-1;0;0;-1
202400000382;203 987 666;155 781 079;B01;1;1;4;2;1950.0;5;1;-1;-1;0;0;-1
202400000382;203 987 667;155 781 080;A01;1;1;3;1;1985.0;4;1;-1;-1;0;0;-1
202400000386;203 987 653;155 781 072;A01;2;2;4;2;1959.0;9;8;-1;-1;0;0;-1
202400000386;203 987 654;155 781 072;A01;9;2;4;1;1958.0;9;8;-1;-1;0;0;-1
202400000386;203 987 655;155 781 072;A01;8;2;3;2;2015.0;9;1;-1;-1;0;0;-1
